18546	Understanding and Using Linear Programming(Matousek J., Gartner B.)	0	2007
18547	Capitalists Against Markets(Swenson P.)	0	2012
17043	Türkçe Öğreniyoruz ORHUN (Çalışma Kitabı) 2(Ozbay M.)	0	2004
13618	Türkçe Öğreniyoruz ORHUN (Çalışma Kitabı) 2(Ozbay M.)	0	2004
17050	ოსმალეთის ისტორია (XIY-XYI)(სვანიძე მ.)	0	1999
13491	Türkçe Öğreniyoruz (Çalışma kitabı) 2(Ozbay M.)	0	2005
17044	Türkçe Öğreniyoruz ORHUN (ders Kitabı) 2(-)	0	2004
17741	აწვიმდა სტამბოლს(ჰალდუნ თანერი)	0	2004
15276	მუალაკები (ისლამამდელი არაბული პოეზია)(-)	0	1985
18544	ნარკვევები მახლობელი აღმოსავლეთის ქალაქების ისტორიიდან, 2(გაბაშვილი)	0	1970
13578	მწვანეზე მწვანე: 40 მოგონება იმამი ხომეინის ცხოვრებიდან()	0	2007
13677	საქართველო და მახლობელი აღმოსავლეთის ისლამური სამყარო(ჯაფარიძე გ.)	0	1995
18542	Linear Programming: Foundations and Extensions (Robert J. Vanderbei)	4	2014
18543	ლოგიკა ყველასათვის (სახელმძღვანელო ანალიტიკური აზროვნების) განსავითარებლად(შადიმან ელაძე)	0	2011
9134	მეწარმეთა შესახებ კანონის კომენტარები(ჭანტურია ლ.)	0	1998
18540	Mostly Harmless Econometrics(Angrist J.)	0	2009
18541	Playing for Real a text on Game Theory(Binmore)	0	2007
18536	Tribe. Endangered Peoples Around the World(Gibbon P.)	0	2010
18537	Evolution. A View From the 21st Century(Shapiro J.)	0	2013
18538	Thinking Big(Gamble C.)	0	2014
18539	Book of Peoples of the World(Davis W., Harrison K.D.)	0	0
18535	500 Essential Japanese Expressions: A Guide to Correct Usage of Key Sentence Patterns(-)	0	2005
18530	Исламская кухня(Лелия Зауали)	0	2008
18534	კომუნისტების მოსვლა ხელისუფლებაში და საქართველოს ოკუპაცია()	0	1955
18521	სანივთო სამართალი(შოთაძე თ.)	0	2014
18522	სანივთო სამართალი(შოთაძე თ.)	0	2014
18523	სანივთო სამართალი(შოთაძე თ.)	0	2014
18524	სანივთო სამართალი(შოთაძე თ.)	0	2014
18525	სანივთო სამართალი(შოთაძე თ.)	0	2014
18526	სანივთო სამართალი(შოთაძე თ.)	0	2014
18527	სანივთო სამართალი(შოთაძე თ.)	0	2014
